,X,Y,condition,genotype,sex,replicate
0,151,0.6543367346938775,cont,mhc,f,3
1,193,0.6938775510204082,cont,mhc,f,3
2,236,0.6543367346938775,cont,mhc,f,3
3,71,0.7665816326530612,cont,mhc,f,3
4,131,0.7653061224489796,cont,mhc,f,3
5,212,0.7869897959183674,cont,mhc,f,3
6,134,0.6926020408163265,cont,mhc,f,3
7,223,0.7602040816326531,cont,mhc,f,3
8,168,0.6913265306122449,cont,mhc,f,3
9,109,0.7857142857142857,cont,mhc,f,3
10,258,0.8125,cont,mhc,f,3
11,284,0.028061224489795866,cont,mhc,f,3
12,136,0.7257653061224489,cont,mhc,f,3
13,124,0.7716836734693877,cont,mhc,f,3
14,142,0.764030612244898,cont,mhc,f,3
15,130,0.7882653061224489,cont,mhc,f,3
16,76,0.8903061224489796,cont,mhc,f,3
17,243,0.6492346938775511,cont,mhc,f,3
18,143,0.8316326530612245,cont,mhc,f,3
19,26,0.8392857142857143,cont,mhc,f,3
20,139,0.6581632653061225,cont,mhc,f,3
21,135,0.715561224489796,cont,mhc,f,3
22,175,0.860969387755102,cont,mhc,f,3
23,123,0.8647959183673469,cont,mhc,f,3
24,121,0.7614795918367347,cont,mhc,f,3
25,155,0.798469387755102,cont,mhc,f,3
26,54,0.6836734693877551,cont,mhc,f,3
27,39,0.6900510204081632,cont,mhc,f,3
28,209,0.8176020408163265,cont,mhc,f,3
29,73,0.8647959183673469,cont,mhc,f,3
30,253,0.7818877551020408,cont,mhc,f,3
31,268,0.8533163265306123,cont,mhc,f,3
32,85,0.8456632653061225,cont,mhc,f,3
33,252,0.8941326530612245,cont,mhc,f,3
34,41,0.9170918367346939,cont,mhc,f,3
35,123,0.8775510204081632,cont,mhc,f,3
36,255,0.9311224489795918,cont,mhc,f,3
37,43,0.8673469387755102,cont,mhc,f,3
38,147,0.9132653061224489,cont,mhc,f,3
39,131,0.8137755102040816,cont,mhc,f,3
40,59,0.8533163265306123,cont,mhc,f,3
41,133,0.9298469387755102,cont,mhc,f,3
42,99,0.8635204081632653,cont,mhc,f,3
43,186,0.9426020408163265,cont,mhc,f,3
44,82,0.8622448979591837,cont,mhc,f,3
45,204,0.8647959183673469,cont,mhc,f,3
46,148,0.8252551020408163,cont,mhc,f,3
47,59,0.8839285714285714,cont,mhc,f,3
48,264,0.8290816326530612,cont,mhc,f,3
49,26,0.9017857142857143,cont,mhc,f,3
50,221,0.9630102040816326,cont,mhc,f,3
51,114,0.9426020408163265,cont,mhc,f,3
52,233,0.8073979591836735,cont,mhc,f,3
53,246,0.8673469387755102,cont,mhc,f,3
54,257,0.9068877551020408,cont,mhc,f,3
55,184,0.9566326530612245,cont,mhc,f,3
0,190,0.7244897959183674,cont,mhc,f,2
1,65,0.875,cont,mhc,f,2
2,120,0.5688775510204082,cont,mhc,f,2
3,16,0.6785714285714286,cont,mhc,f,2
4,260,0.7142857142857143,cont,mhc,f,2
5,187,0.7755102040816326,cont,mhc,f,2
6,37,0.7066326530612245,cont,mhc,f,2
7,16,0.8877551020408163,cont,mhc,f,2
8,284,0.044642857142857095,cont,mhc,f,2
9,98,0.6964285714285714,cont,mhc,f,2
10,232,0.7563775510204082,cont,mhc,f,2
11,195,0.7946428571428572,cont,mhc,f,2
12,103,0.8673469387755102,cont,mhc,f,2
13,25,0.8073979591836735,cont,mhc,f,2
14,25,0.8482142857142857,cont,mhc,f,2
15,26,0.8188775510204082,cont,mhc,f,2
16,82,0.8303571428571428,cont,mhc,f,2
17,205,0.7729591836734694,cont,mhc,f,2
18,151,0.9196428571428571,cont,mhc,f,2
19,75,0.8341836734693877,cont,mhc,f,2
20,157,0.8392857142857143,cont,mhc,f,2
21,133,0.9017857142857143,cont,mhc,f,2
22,220,0.7283163265306123,cont,mhc,f,2
23,36,0.8737244897959184,cont,mhc,f,2
24,119,0.9119897959183674,cont,mhc,f,2
25,48,0.8214285714285714,cont,mhc,f,2
26,208,0.8622448979591837,cont,mhc,f,2
27,135,0.875,cont,mhc,f,2
28,270,0.9043367346938775,cont,mhc,f,2
29,102,0.9260204081632653,cont,mhc,f,2
30,42,0.8112244897959184,cont,mhc,f,2
31,42,0.8533163265306123,cont,mhc,f,2
32,254,0.965561224489796,cont,mhc,f,2
33,61,0.8915816326530612,cont,mhc,f,2
34,71,0.9196428571428571,cont,mhc,f,2
35,260,0.9005102040816326,cont,mhc,f,2
36,104,0.9170918367346939,cont,mhc,f,2
0,0,1.0,cont,mhc,f,1
1,62,0.6020408163265306,cont,mhc,f,1
2,179,0.5854591836734694,cont,mhc,f,1
3,249,0.7130102040816326,cont,mhc,f,1
4,142,0.6543367346938775,cont,mhc,f,1
5,24,0.6951530612244898,cont,mhc,f,1
6,32,0.7614795918367347,cont,mhc,f,1
7,178,0.7755102040816326,cont,mhc,f,1
8,61,0.7831632653061225,cont,mhc,f,1
9,114,0.6836734693877551,cont,mhc,f,1
10,175,0.5548469387755102,cont,mhc,f,1
11,200,0.8188775510204082,cont,mhc,f,1
12,30,0.7691326530612245,cont,mhc,f,1
13,271,0.8852040816326531,cont,mhc,f,1
14,247,0.7997448979591837,cont,mhc,f,1
15,262,0.778061224489796,cont,mhc,f,1
16,286,0.04719387755102045,cont,mhc,f,1
17,114,0.6339285714285714,cont,mhc,f,1
18,45,0.7193877551020409,cont,mhc,f,1
19,38,0.8214285714285714,cont,mhc,f,1
20,195,0.8303571428571428,cont,mhc,f,1
21,265,0.7971938775510204,cont,mhc,f,1
22,127,0.7308673469387755,cont,mhc,f,1
23,255,0.8290816326530612,cont,mhc,f,1
24,105,0.7244897959183674,cont,mhc,f,1
25,164,0.8494897959183674,cont,mhc,f,1
26,95,0.8660714285714286,cont,mhc,f,1
27,248,0.8826530612244898,cont,mhc,f,1
28,88,0.9209183673469388,cont,mhc,f,1
29,216,0.8596938775510204,cont,mhc,f,1
30,147,0.7385204081632653,cont,mhc,f,1
31,269,0.8711734693877551,cont,mhc,f,1
32,95,0.8316326530612245,cont,mhc,f,1
33,177,0.9438775510204082,cont,mhc,f,1
34,213,0.798469387755102,cont,mhc,f,1
35,33,0.8456632653061225,cont,mhc,f,1
36,221,0.9961734693877551,cont,mhc,f,1
0,122,0.2053571428571429,cont,mhc,f,5
1,200,0.6645408163265306,cont,mhc,f,5
2,268,0.7410714285714286,cont,mhc,f,5
3,120,0.5471938775510203,cont,mhc,f,5
4,171,0.7474489795918368,cont,mhc,f,5
5,185,0.7627551020408163,cont,mhc,f,5
6,106,0.5293367346938775,cont,mhc,f,5
7,146,0.6619897959183674,cont,mhc,f,5
8,74,0.7793367346938775,cont,mhc,f,5
9,36,0.8392857142857143,cont,mhc,f,5
10,102,0.7193877551020409,cont,mhc,f,5
11,104,0.8367346938775511,cont,mhc,f,5
12,266,0.7971938775510204,cont,mhc,f,5
13,84,0.8188775510204082,cont,mhc,f,5
14,188,0.8354591836734694,cont,mhc,f,5
15,21,0.6900510204081632,cont,mhc,f,5
16,167,0.5204081632653061,cont,mhc,f,5
17,206,0.653061224489796,cont,mhc,f,5
18,87,0.7359693877551021,cont,mhc,f,5
19,198,0.7831632653061225,cont,mhc,f,5
20,36,0.8022959183673469,cont,mhc,f,5
21,109,0.6492346938775511,cont,mhc,f,5
22,252,0.7104591836734694,cont,mhc,f,5
23,125,0.8329081632653061,cont,mhc,f,5
24,70,0.8367346938775511,cont,mhc,f,5
25,70,0.8571428571428572,cont,mhc,f,5
26,129,0.9043367346938775,cont,mhc,f,5
27,186,0.7117346938775511,cont,mhc,f,5
28,168,0.7142857142857143,cont,mhc,f,5
29,68,0.7512755102040816,cont,mhc,f,5
30,113,0.7818877551020408,cont,mhc,f,5
31,93,0.8596938775510204,cont,mhc,f,5
32,124,0.8686224489795918,cont,mhc,f,5
33,184,0.7538265306122449,cont,mhc,f,5
34,74,0.8188775510204082,cont,mhc,f,5
35,24,0.7767857142857143,cont,mhc,f,5
36,82,0.7869897959183674,cont,mhc,f,5
37,214,0.8316326530612245,cont,mhc,f,5
38,52,0.7704081632653061,cont,mhc,f,5
39,162,0.9400510204081632,cont,mhc,f,5
40,94,0.7576530612244898,cont,mhc,f,5
41,211,0.8061224489795918,cont,mhc,f,5
42,158,0.8456632653061225,cont,mhc,f,5
43,52,0.8660714285714286,cont,mhc,f,5
44,280,0.8903061224489796,cont,mhc,f,5
45,17,0.7627551020408163,cont,mhc,f,5
46,105,0.951530612244898,cont,mhc,f,5
47,225,0.8979591836734694,cont,mhc,f,5
48,136,0.9323979591836735,cont,mhc,f,5
49,168,0.8839285714285714,cont,mhc,f,5
50,149,0.8928571428571429,cont,mhc,f,5
51,149,0.9872448979591837,cont,mhc,f,5
0,228,0.6683673469387755,cont,mhc,f,4
1,203,0.6913265306122449,cont,mhc,f,4
2,112,0.5701530612244898,cont,mhc,f,4
3,144,0.7295918367346939,cont,mhc,f,4
4,223,0.7716836734693877,cont,mhc,f,4
5,95,0.6262755102040816,cont,mhc,f,4
6,142,0.7691326530612245,cont,mhc,f,4
7,42,0.6084183673469388,cont,mhc,f,4
8,249,0.7576530612244898,cont,mhc,f,4
9,62,0.8201530612244898,cont,mhc,f,4
10,54,0.5306122448979591,cont,mhc,f,4
11,210,0.6147959183673469,cont,mhc,f,4
12,137,0.778061224489796,cont,mhc,f,4
13,259,0.6823979591836735,cont,mhc,f,4
14,124,0.7028061224489797,cont,mhc,f,4
15,54,0.8278061224489796,cont,mhc,f,4
16,200,0.7142857142857143,cont,mhc,f,4
17,141,0.8022959183673469,cont,mhc,f,4
18,129,0.8584183673469388,cont,mhc,f,4
19,282,0.03826530612244894,cont,mhc,f,4
20,223,0.8584183673469388,cont,mhc,f,4
21,264,0.6632653061224489,cont,mhc,f,4
22,31,0.7755102040816326,cont,mhc,f,4
23,240,0.7959183673469388,cont,mhc,f,4
24,276,0.8112244897959184,cont,mhc,f,4
25,117,0.8163265306122449,cont,mhc,f,4
26,118,0.6543367346938775,cont,mhc,f,4
27,228,0.7997448979591837,cont,mhc,f,4
28,35,0.8482142857142857,cont,mhc,f,4
29,176,0.7551020408163265,cont,mhc,f,4
30,108,0.7920918367346939,cont,mhc,f,4
31,44,0.8354591836734694,cont,mhc,f,4
32,32,0.7563775510204082,cont,mhc,f,4
33,206,0.7831632653061225,cont,mhc,f,4
34,208,0.8545918367346939,cont,mhc,f,4
35,115,0.8558673469387755,cont,mhc,f,4
36,185,0.860969387755102,cont,mhc,f,4
37,51,0.8852040816326531,cont,mhc,f,4
38,166,0.7563775510204082,cont,mhc,f,4
39,44,0.7818877551020408,cont,mhc,f,4
40,79,0.7946428571428572,cont,mhc,f,4
41,29,0.8482142857142857,cont,mhc,f,4
42,170,0.8558673469387755,cont,mhc,f,4
43,95,0.9311224489795918,cont,mhc,f,4
44,111,0.7831632653061225,cont,mhc,f,4
45,239,0.784438775510204,cont,mhc,f,4
46,99,0.8125,cont,mhc,f,4
47,38,0.8698979591836735,cont,mhc,f,4
48,216,0.8188775510204082,cont,mhc,f,4
49,85,0.8418367346938775,cont,mhc,f,4
50,124,0.9323979591836735,cont,mhc,f,4
51,236,0.826530612244898,cont,mhc,f,4
52,145,0.8915816326530612,cont,mhc,f,4
53,116,0.7729591836734694,cont,mhc,f,4
54,211,0.9221938775510204,cont,mhc,f,4
55,77,0.8380102040816326,cont,mhc,f,4
56,27,0.9056122448979592,cont,mhc,f,4
57,121,0.9260204081632653,cont,mhc,f,4
58,217,0.8864795918367347,cont,mhc,f,4
0,143,0.2053571428571429,expt,mhc,m,1
1,135,0.28826530612244894,expt,mhc,m,1
2,22,0.21556122448979587,expt,mhc,m,1
3,99,0.1875,expt,mhc,m,1
4,127,0.15433673469387754,expt,mhc,m,1
5,137,0.6428571428571428,expt,mhc,m,1
0,130,0.3698979591836735,expt,mhc,m,2
1,160,0.40306122448979587,expt,mhc,m,2
2,131,0.3801020408163265,expt,mhc,m,2
3,158,0.5255102040816326,expt,mhc,m,2
4,57,0.4910714285714286,expt,mhc,m,2
5,136,0.30994897959183676,expt,mhc,m,2
6,110,0.4387755102040817,expt,mhc,m,2
7,139,0.6301020408163265,expt,mhc,m,2
8,252,0.6122448979591837,expt,mhc,m,2
9,46,0.5471938775510203,expt,mhc,m,2
10,112,0.6415816326530612,expt,mhc,m,2
0,171,0.1607142857142857,expt,mhc,m,3
1,183,0.47576530612244894,expt,mhc,m,3
2,38,0.26147959183673475,expt,mhc,m,3
3,64,0.485969387755102,expt,mhc,m,3
4,265,0.5778061224489797,expt,mhc,m,3
5,182,0.6632653061224489,expt,mhc,m,3
0,274,0.19005102040816324,expt,mhc,m,4
1,143,0.3354591836734694,expt,mhc,m,4
2,133,0.5433673469387755,expt,mhc,m,4
3,131,0.7040816326530612,expt,mhc,m,4
4,127,0.6683673469387755,expt,mhc,m,4
5,119,0.6211734693877551,expt,mhc,m,4
6,161,0.8380102040816326,expt,mhc,m,4
0,144,0.26913265306122447,expt,mhc,m,5
1,133,0.25765306122448983,expt,mhc,m,5
2,188,0.24234693877551017,expt,mhc,m,5
3,124,0.298469387755102,expt,mhc,m,5
4,17,0.1875,expt,mhc,m,5
5,243,0.49234693877551017,expt,mhc,m,5
6,33,0.017857142857142905,expt,mhc,m,5
7,149,0.11989795918367352,expt,mhc,m,5
8,112,0.46683673469387754,expt,mhc,m,5
9,235,0.5778061224489797,expt,mhc,m,5
10,148,0.6377551020408163,expt,mhc,m,5
11,150,0.6211734693877551,expt,mhc,m,5
12,124,0.7665816326530612,expt,mhc,m,5
13,164,0.6556122448979591,expt,mhc,m,5
14,159,0.7130102040816326,expt,mhc,m,5
15,32,0.590561224489796,expt,mhc,m,5
16,160,0.653061224489796,expt,mhc,m,5
17,181,0.6964285714285714,expt,mhc,m,5
18,142,0.625,expt,mhc,m,5
19,37,0.7270408163265306,expt,mhc,m,5
20,196,0.8176020408163265,expt,mhc,m,5
21,20,0.6772959183673469,expt,mhc,m,5
22,153,0.7563775510204082,expt,mhc,m,5
23,61,0.7602040816326531,expt,mhc,m,5
0,232,0.6109693877551021,cont,mhc,m,2
1,155,0.3482142857142857,cont,mhc,m,2
2,188,0.590561224489796,cont,mhc,m,2
3,188,0.6160714285714286,cont,mhc,m,2
4,256,0.7372448979591837,cont,mhc,m,2
5,180,0.8201530612244898,cont,mhc,m,2
6,52,0.6645408163265306,cont,mhc,m,2
7,246,0.7627551020408163,cont,mhc,m,2
8,177,0.7142857142857143,cont,mhc,m,2
9,70,0.6658163265306123,cont,mhc,m,2
10,197,0.7665816326530612,cont,mhc,m,2
11,249,0.8839285714285714,cont,mhc,m,2
12,207,0.8698979591836735,cont,mhc,m,2
13,95,0.8150510204081632,cont,mhc,m,2
14,14,0.8188775510204082,cont,mhc,m,2
15,23,0.8507653061224489,cont,mhc,m,2
16,21,0.7818877551020408,cont,mhc,m,2
17,162,0.923469387755102,cont,mhc,m,2
18,230,0.8316326530612245,cont,mhc,m,2
19,37,0.721938775510204,cont,mhc,m,2
20,66,0.8724489795918368,cont,mhc,m,2
21,261,0.8762755102040817,cont,mhc,m,2
22,173,0.9043367346938775,cont,mhc,m,2
23,87,0.9196428571428571,cont,mhc,m,2
24,151,0.8354591836734694,cont,mhc,m,2
25,168,0.8762755102040817,cont,mhc,m,2
26,124,0.8979591836734694,cont,mhc,m,2
27,230,0.8698979591836735,cont,mhc,m,2
28,33,0.8954081632653061,cont,mhc,m,2
29,244,0.9260204081632653,cont,mhc,m,2
30,107,0.860969387755102,cont,mhc,m,2
31,33,0.8801020408163265,cont,mhc,m,2
32,34,0.8698979591836735,cont,mhc,m,2
33,118,0.9107142857142857,cont,mhc,m,2
34,68,0.8507653061224489,cont,mhc,m,2
0,37,0.2602040816326531,cont,mhc,m,3
1,166,0.5982142857142857,cont,mhc,m,3
2,85,0.6045918367346939,cont,mhc,m,3
3,162,0.7321428571428572,cont,mhc,m,3
4,189,0.7487244897959184,cont,mhc,m,3
5,220,0.6517857142857143,cont,mhc,m,3
6,91,0.7270408163265306,cont,mhc,m,3
7,166,0.7551020408163265,cont,mhc,m,3
8,262,0.8456632653061225,cont,mhc,m,3
9,135,0.8494897959183674,cont,mhc,m,3
10,235,0.7997448979591837,cont,mhc,m,3
11,280,0.8392857142857143,cont,mhc,m,3
12,201,0.7525510204081632,cont,mhc,m,3
13,120,0.7551020408163265,cont,mhc,m,3
14,215,0.7397959183673469,cont,mhc,m,3
15,69,0.826530612244898,cont,mhc,m,3
16,40,0.8558673469387755,cont,mhc,m,3
17,77,0.8596938775510204,cont,mhc,m,3
18,125,0.8915816326530612,cont,mhc,m,3
19,17,0.8660714285714286,cont,mhc,m,3
20,18,0.889030612244898,cont,mhc,m,3
21,132,0.9196428571428571,cont,mhc,m,3
22,114,0.9451530612244898,cont,mhc,m,3
23,99,0.9017857142857143,cont,mhc,m,3
24,215,0.9757653061224489,cont,mhc,m,3
25,261,0.9336734693877551,cont,mhc,m,3
0,191,0.6836734693877551,cont,mhc,m,1
1,224,0.6836734693877551,cont,mhc,m,1
2,192,0.7971938775510204,cont,mhc,m,1
3,233,0.7895408163265306,cont,mhc,m,1
4,274,0.028061224489795866,cont,mhc,m,1
5,98,0.8443877551020408,cont,mhc,m,1
6,216,0.8915816326530612,cont,mhc,m,1
